kode,nama,ukuran,satuan,isi,hpp,harga_jual
PTPPPPBBP0505,PLASTIK POLYMAILER BABBY PINK 05 MICRON,25 X 40,Pcs,100,395.0,540.0
PTPPPPBBP0506,PLASTIK POLYMAILER BABBY PINK 05 MICRON,30 X 40,Pcs,100,460.0,630.0
PTPPPPBBP0507,PLASTIK POLYMAILER BABBY PINK 05 MICRON,35 X 50,Pcs,100,770.0,900.0
PTPPPPBBP0511,PLASTIK POLYMAILER BABBY PINK 05 MICRON,40 x 50,pcs,100,900.0,1150.0
PTPPPPBBP0508,PLASTIK POLYMAILER BABBY PINK 05 MICRON,40 x 60,Pcs,100,950.0,1250.0
PTPPPPBBP0509,PLASTIK POLYMAILER BABBY PINK 05 MICRON,50 x 60,Pcs,100,1200.0,1750.0
PTPPPPBB0501,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,17 X 30,Pcs,100,180.0,280.0
PTPPPPBB0502,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,20 X 30,Pcs,100,220.0,310.0
PTPPPPBB0503,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,20 X 40,Pcs,100,330.0,450.0
PTPPPPBB0504,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,25 X 35,Pcs,100,360.0,490.0
PTPPPPBB0505,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,25 X 40,Pcs,100,395.0,540.0
PTPPPPBB0506,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,30 X 40,Pcs,100,460.0,630.0
PTPPPPBB0507,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,35 X 50,Pcs,100,770.0,900.0
PTPPPPBB0511,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,40 x 50,Pcs,100,900.0,1050.0
PTPPPPBB0508,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,40 x 60,Pcs,100,950.0,1200.0
PTPPPPBB0509,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,50 x 60,Pcs,100,1200.0,1750.0
PTPPPPOR0501,PLASTIK POLYMAILER ORANGE 05 MICRON,17 X 30,Pcs,100,180.0,280.0
PTPPPPOR0502,PLASTIK POLYMAILER ORANGE 05 MICRON,20 X 30,Pcs,100,220.0,310.0
PTPPPPOR0503,PLASTIK POLYMAILER ORANGE 05 MICRON,20 X 40,Pcs,100,330.0,450.0
PTPPPPOR0504,PLASTIK POLYMAILER ORANGE 05 MICRON,25 X 35,Pcs,100,360.0,490.0
PTPPPPOR0505,PLASTIK POLYMAILER ORANGE 05 MICRON,25 X 40,Pcs,100,395.0,540.0
PTPPPPOR0506,PLASTIK POLYMAILER ORANGE 05 MICRON,30 X 40,Pcs,100,460.0,630.0
PTPPPPOR0507,PLASTIK POLYMAILER ORANGE 05 MICRON,35 X 50,Pcs,100,770.0,900.0
PTPPPPOR0508,PLASTIK POLYMAILER ORANGE 05 MICRON,40 x 50,Pcs,100,900.0,1050.0
PTPPPPOR0509,PLASTIK POLYMAILER ORANGE 05 MICRON,40 x 60,Pcs,100,950.0,1200.0
PTPPPPOR0510,PLASTIK POLYMAILER ORANGE 05 MICRON,50 x 60,Pcs,100,1200.0,1750.0
PTPPPPSLV0501,PLASTIK POLYMAILER SILVER 05 MICRON,17 X 30,Pcs,100,170.0,280.0
PTPPPPSLV0502,PLASTIK POLYMAILER SILVER 05 MICRON,20 X 30,Pcs,100,200.0,310.0
PTPPPPSLV0503,PLASTIK POLYMAILER SILVER 05 MICRON,20 X 40,Pcs,100,260.0,450.0
PTPPPPSLV0504,PLASTIK POLYMAILER SILVER 05 MICRON,25 X 35,Pcs,100,270.0,490.0
PTPPPPSLV0505,PLASTIK POLYMAILER SILVER 05 MICRON,25 X 40,Pcs,100,310.0,540.0
PTPPPPSLV0506,PLASTIK POLYMAILER SILVER 05 MICRON,30 X 40,Pcs,100,370.0,630.0
PTPPPPSLV0507,PLASTIK POLYMAILER SILVER 05 MICRON,35 X 50,Pcs,100,610.0,780.0
PTPPPPSLV0511,PLASTIK POLYMAILER SILVER 05 MICRON,40 x 50,Pcs,100,720.0,1050.0
PTPPPPSLV0508,PLASTIK POLYMAILER SILVER 05 MICRON,40 X 60,Pcs,100,810.0,1200.0
PTPPPPSLV0509,PLASTIK POLYMAILER SILVER 05 MICRON,50 x 60,Pcs,100,1020.0,1750.0
PTPPPPSLV0509MTRNL,PLASTIK POLYMAILER SILVER 05 MICRON,50 x 60,Pcs,100,1020.0,1500.0
PTPPPPPTH0501,PLASTIK POLYMAILER PUTIH 05 MICRON,17 X 30,Pcs,100,170.0,280.0
PTPPPPPTH0502,PLASTIK POLYMAILER PUTIH 05 MICRON,20 X 30,Pcs,100,200.0,310.0
PTPPPPPTH0503,PLASTIK POLYMAILER PUTIH 05 MICRON,20 X 40,Pcs,100,260.0,380.0
PTPPPPPTH0504,PLASTIK POLYMAILER PUTIH 05 MICRON,25 X 35,Pcs,100,270.0,410.0
PTPPPPPTH0505,PLASTIK POLYMAILER PUTIH 05 MICRON,25 X 40,Pcs,100,310.0,520.0
PTPPPPPTH0506,PLASTIK POLYMAILER PUTIH 05 MICRON,30 X 40,Pcs,100,370.0,630.0
PTPPPPPTH0506A,PLASTIK POLYMAILER PUTIH 05 MICRON,30 X 45,Pcs,100,410.0,670.0
PTPPPPPTH0507,PLASTIK POLYMAILER PUTIH 05 MICRON,35 X 50,Pcs,100,610.0,800.0
PTPPPPPTH0508,PLASTIK POLYMAILER PUTIH 05 MICRON,40 X 50,Pcs,100,720.0,1150.0
PTPPPPPTH0509,PLASTIK POLYMAILER PUTIH 05 MICRON,45 x 60,pcs,100,870.0,1450.0
PTPPPPPTH0510,PLASTIK POLYMAILER PUTIH 05 MICRON,40 x 60,Pcs,100,810.0,1250.0
PTPPPPPTH0511,PLASTIK POLYMAILER PUTIH 05 MICRON,55 x 65,Pcs,100,1020.0,1500.0
PTPPPPPTH0601,PLASTIK POLYMAILER PUTIH 06 MICRON,17 X 28 + 2,Pcs,100,260.0,330.0
PTPPPPPTH0602,PLASTIK POLYMAILER PUTIH 06 MICRON,20 X 30 + 5,Pcs,100,365.0,410.0
PTPPPPPTH0603,PLASTIK POLYMAILER PUTIH 06 MICRON,25 X 35 + 5,Pcs,100,500.0,570.0
PTPPPPPTH0604,PLASTIK POLYMAILER PUTIH 06 MICRON,30 X 40 + 5,Pcs,100,670.0,800.0
PTPPPPPTH0605,PLASTIK POLYMAILER PUTIH 06 MICRON,35 X 45 + 5,Pcs,100,750.0,1050.0
PTPPPPPTH0606,PLASTIK POLYMAILER PUTIH 06 MICRON,35 X 50 + 5,Pcs,100,920.0,1100.0
PTPPPPPTH0607,PLASTIK POLYMAILER PUTIH 06 MICRON,40 X 50 + 5,Pcs,100,108.0,1350.0
PTPPPPSLV0511,PLASTIK POLYMAILER SILVER 05 MICRON,50 x 60,Pcs,100,1100.0,1500.0
PTPPPPSHD05TK,PLASTIK POLYMAILER SILVER 05 MICRON,50 x 60,Pcs,100,693.0,1400.0
PTPPPPSLV0506CL,PLASTIK POLYMAILER SILVER 05 MICRON,30 X 40,Pcs,100,370.0,600.0
PTPPPPPTH0511RTF,PLASTIK POLYMAILER SILVER 05 MICRON,50 x 60,Pcs,100,970.0,1450.0
PTPPPPSLV0505VL,PLASTIK POLYMAILER SILVER 05 MICRON,25 X 40,Pcs,100,310.0,440.0
PTPPPPSLV0507VL,PLASTIK POLYMAILER SILVER 05 MICRON,25 X 40,Pcs,100,310.0,440.0
HE05SV01,PLASTIK POLYMAILER PE 05 SILVER,17 x 30,Pcs,100,150.0,210.0
HE05SV02,PLASTIK POLYMAILER PE 05 SILVER,17 x 35,Pcs,100,175.0,240.0
HE05SV03,PLASTIK POLYMAILER PE 05 SILVER,20 x 30,Pcs,100,175.0,260.0
HE05SV04,PLASTIK POLYMAILER PE 05 SILVER,20 x 40,Pcs,100,225.0,320.0
PESHDLBNG01,PE SOFT HANDLE BENING,30 X 30 X 7,PCS,1,1300.0,1600.0
HE05BNG03,POLYMAILER BENING 045 MICRON,30 X 40 + 4,PCS,100,375.0,410.0
HEBBMPR2717401,BUBBLE MAILER  PUTIH PRINTING UNBOXING,27 X 17 + 4,PCS,,1200.0,1400.0
HEBBMPL2030402,BUBBLE MAILER PUTIH POLOS,20 X 30 + 4,PCS,,1300.0,1550.0
HEBBMPR1930403,BUBBLE MAILER  PUTIH PRINTING UNBOXING,19 X 30 + 4,PCS,,1300.0,1500.0
HEBBMPL1823404,BUBBLE MAILER PUTIH POLOS,18 X 23 + 4,PCS,,750.0,1100.0
HEBBMPL1618405,BUBBLE MAILER PUTIH POLOS,16 X 18 + 4,PCS,,720.0,950.0
PTPPPPBB0510,PLASTIK POLYMAILER BABBY BLUE05 MICRON,40 x 50,Pcs,100,1500.0,1150.0
PTPPPPBBP0510,PLASTIK POLYMAILER BABBY PINK05 MICRON,40 x 50,Pcs,100,0,1150.0
TGRZPB3540,PLASTIK ZIPPER BAG POTRAIT,35x40,Pcs,100,0,2600.0
DPPKPTLP01,PLASTIK KRESEK HD TULIP PUTIH,HD 30,Pcs,,415.178571428571,515.0
